text_index,hashtag,company
2804,Romance,Apple
2804,99cents,Apple
2806,everyonewins,Apple
2809,iPadpic,Apple
2817,StandWithHongKong,Apple
2826,dangerous,Apple
2827,Android,Apple
2830,details,Apple
2830,detailsmatter,Apple
2834,Inktober2019,Apple
2845,mossosdeescuadra,Apple
2845,Catalunya,Apple
2845,Tsunamidemocratic,Apple
2845,Independentismo,Apple
2845,Proces,Apple
2850,wowpic,Apple
2854,zuck,Apple
2855,zuck,Apple
2860,zuck,Apple
2864,tillwhen,Apple
2864,الى_متى,Apple
2866,setup,Apple
2866,ripoff,Apple
2866,horrible,Apple
2866,plot,Apple
2869,VisitCanterbury,Apple
2869,LoveCanterbury,Apple
2869,LiveCanterbury,Apple
2869,CanterburyFriends,Apple
2870,ios13,Apple
2871,iOS,Apple
2887,GetDown,Apple
2896,YESS386,Apple
2896,S386,Apple
2896,NoS386,Apple
2901,ripoff,Apple
2901,AppleSupport,Apple
2901,Neveragain,Apple
2905,Woza,Apple
2905,Summer,Apple
2912,iSheep,Apple
2916,ProjectTango,Apple
2920,MorningShow,Apple
2920,JenniferAniston,Apple
2921,SupportHongKong,Apple
2926,MorningShow,Apple
2927,FUCKIOS13https,Apple
2928,BrawlStars,Apple
2928,mobilegamingpic,Apple
2929,iPhone11ProMax,Apple
2930,AirPods,Apple
2930,cancelación,Apple
2930,ruido,Apple
2931,MovedMyCheesepic,Apple
2932,mycalvins,Apple
2932,happyhalloween,Apple
2932,shotoniphone,Apple
2937,iPhone11ProMax,Apple
2947,métropoles,Apple
2947,Apple,Apple
2947,Rennes,Apple
2947,Toulouse,Apple
2951,iPadOS,Apple
2951,ipad,Apple
2951,apple,Apple
2951,ipadpro,Apple
2951,ipad2019,Apple
2951,newipad,Apple
2951,ios13,Apple
2959,iphone11pro,Apple
2962,FeelingGuiltypic,Apple
2963,madelinesmadeline,Apple
2966,wireless,Apple
2970,ForNow,Apple
2970,AppleToughpic,Apple
2971,darkmode,Apple
2973,iPhone11ProMax,Apple
2974,Apple,Apple
2974,airpods,Apple
2974,iPhone11pro,Apple
2978,iOS13th,Apple
2978,Apple,Apple
2983,NoS386,Apple
2983,S386IsNotFair,Apple
2987,macOSCatalina,Apple
2987,Mac,Apple
2995,Android,Apple
2995,iOS,Apple
2995,MovetoIOS,Apple
2995,Apple,Apple
2995,iphone,Apple
2998,zuck,Apple
3000,Kashmir,Apple
3000,StandWithKashmir,Apple
3000,ReturnKashmiriChildren,Apple
3000,FreeKashmir,Apple
3000,BoycottIndia,Apple
3000,EndSiege,Apple
3000,SanctionsForIndiahttps,Apple
3012,emoji,Apple
3012,certified,Apple
3012,myidea,Apple
3023,google,Apple
3023,pixel4,Apple
3027,Catalina,Apple
3030,iPadPro,Apple
3030,LostAndFoundpic,Apple
3036,inear,Apple
3036,airpodpro,Apple
3036,Applehttps,Apple
3038,OSCatalina,Apple
3038,Logitech,Apple
3038,windows,Apple
3038,stopChangingThings,Apple
3038,innovation,Apple
3039,pay,Apple
3039,discount,Apple
3042,bloggers,Apple
3046,shotoniphone,Apple
3046,iPhone11Pro,Apple
3046,spectreshot,Apple
3046,mobilephotographypic,Apple
3050,applecustomerservicesucks,Apple
3050,applesucks,Apple
3050,unauthorizedcharge,Apple
3050,becareful,Apple
3076,NERules,Apple
3076,TeamMagenta,Apple
3076,Pixel4,Apple
3076,iPhone11,Apple
3076,OnePlus7T,Apple
3076,GalaxyNote10pic,Apple
3077,iPhoneUpdate,Apple
3077,nowimold,Apple
3082,AppleWatch,Apple
3082,AppleWatchSeries5pic,Apple
3090,ipod,Apple
3090,products,Apple
3091,StandWithHongKong,Apple
3094,apple,Apple
3094,appleupdate,Apple
3094,DarkSide,Apple
3096,fail,Apple
